sid,dat,tim,open_value,low,high,close_value,volume
632,2020-05-04,13:22:00,73.72,72.13,77.9,75.74,170472
711,2020-05-04,13:22:00,417.78,414.87,428.54,421.1,4997911
971,2020-05-04,13:22:00,22.21,21.35,22.45,22.4,554464
365,2020-05-04,13:22:00,289.17,286.33,292.1,288.54,20603591
413,2020-05-04,13:22:00,18,17.42,18.69,18.4,1184511
579,2020-05-04,13:22:00,701,698,748.8,728.28,12492644
146,2020-05-04,13:22:00,200.2,198.76,205,202.72,10482193
178,2020-05-04,13:22:00,1308.13,1296.01,1314.99,1306.94,835309
267,2020-05-04,13:22:00,2256.38,2256.5,2326,2294.17,3476875
292,2020-05-04,13:22:00,27.6,27.39,28.42,27.55,10105394
146,2020-05-04,13:21:00,200.2,198.76,205,202.74,10468303
178,2020-05-04,13:21:00,1308.13,1296.01,1314.99,1306.92,831914
267,2020-05-04,13:21:00,2256.38,2256.5,2326,2294.24,3471735
292,2020-05-04,13:21:00,27.6,27.39,28.42,27.557,10086401
632,2020-05-04,13:21:00,73.72,72.13,77.9,75.74,170466
711,2020-05-04,13:21:00,417.78,414.87,428.54,421.65,4985154
971,2020-05-04,13:21:00,22.21,21.35,22.45,22.39,553559
365,2020-05-04,13:21:00,289.17,286.33,292.1,288.61,20558553
413,2020-05-04,13:21:00,18,17.42,18.69,18.41,1172654
579,2020-05-04,13:21:00,701,698,748.8,727.102,12425065
365,2020-05-04,13:20:00,289.17,286.33,292.1,288.45,20503108
413,2020-05-04,13:20:00,18,17.42,18.69,18.41,1168314
579,2020-05-04,13:20:00,701,698,748.8,727.535,12395530
146,2020-05-04,13:20:00,200.2,198.76,205,202.73,10440656
178,2020-05-04,13:20:00,1308.13,1296.01,1314.99,1306.57,830023
267,2020-05-04,13:20:00,2256.38,2256.5,2326,2292.58,3464495
292,2020-05-04,13:20:00,27.6,27.39,28.42,27.55,10067297
632,2020-05-04,13:20:00,73.72,72.13,77.9,75.929,169899
711,2020-05-04,13:20:00,417.78,414.87,428.54,421.361,4976437
971,2020-05-04,13:20:00,22.21,21.35,22.45,22.39,552221
632,2020-05-04,13:19:00,73.72,72.13,77.9,75.929,169899
711,2020-05-04,13:19:00,417.78,414.87,428.54,421.69,4962559
971,2020-05-04,13:19:00,22.21,21.35,22.45,22.4,550574
365,2020-05-04,13:19:00,289.17,286.33,292.1,288.45,20452922
413,2020-05-04,13:19:00,18,17.42,18.69,18.42,1167348
579,2020-05-04,13:19:00,701,698,748.8,729.15,12342070
146,2020-05-04,13:19:00,200.2,198.76,205,202.68,10413908
178,2020-05-04,13:19:00,1308.13,1296.01,1314.99,1306.09,829108
267,2020-05-04,13:19:00,2256.38,2256.5,2326,2293.03,3459404
292,2020-05-04,13:19:00,27.6,27.39,28.42,27.555,10052841
146,2020-05-04,13:18:00,200.2,198.76,205,202.52,10389845
178,2020-05-04,13:18:00,1308.13,1296.01,1314.99,1305.33,827454
267,2020-05-04,13:18:00,2256.38,2256.5,2326,2294.36,3453703
292,2020-05-04,13:18:00,27.6,27.39,28.42,27.56,10044711
632,2020-05-04,13:18:00,73.72,72.13,77.9,75.929,169899
711,2020-05-04,13:18:00,417.78,414.87,428.54,421.51,4957856
971,2020-05-04,13:18:00,22.21,21.35,22.45,22.4,549066
365,2020-05-04,13:18:00,289.17,286.33,292.1,288.53,20400597
413,2020-05-04,13:18:00,18,17.42,18.69,18.41,1165568
579,2020-05-04,13:18:00,701,698,748.8,729.32,12322221
365,2020-05-04,13:17:00,289.17,286.33,292.1,288.57,20274345
413,2020-05-04,13:17:00,18,17.42,18.69,18.44,1161741
579,2020-05-04,13:17:00,701,698,748.8,728.46,12272430
146,2020-05-04,13:17:00,200.2,198.76,205,202.68,10337370
178,2020-05-04,13:17:00,1308.13,1296.01,1314.99,1307.23,819148
267,2020-05-04,13:17:00,2256.38,2256.5,2326,2294,3438718
292,2020-05-04,13:17:00,27.6,27.39,28.42,27.595,9997982
632,2020-05-04,13:17:00,73.72,72.13,77.9,75.911,168882
711,2020-05-04,13:17:00,417.78,414.87,428.54,421.63,4942552
971,2020-05-04,13:17:00,22.21,21.35,22.45,22.39,545116
632,2020-05-04,13:16:00,73.72,72.13,77.9,75.911,168882
711,2020-05-04,13:16:00,417.78,414.87,428.54,421.82,4930271
971,2020-05-04,13:16:00,22.21,21.35,22.45,22.41,543595
365,2020-05-04,13:16:00,289.17,286.33,292.1,288.77,20202990
413,2020-05-04,13:16:00,18,17.42,18.69,18.47,1158921
579,2020-05-04,13:16:00,701,698,748.8,730.87,12225734
146,2020-05-04,13:16:00,200.2,198.76,205,202.88,10309327
178,2020-05-04,13:16:00,1308.13,1296.01,1314.99,1307.63,817305
267,2020-05-04,13:16:00,2256.38,2256.5,2326,2295.24,3428780
292,2020-05-04,13:16:00,27.6,27.39,28.42,27.61,9977937
146,2020-05-04,13:15:00,200.2,198.76,205,202.92,10285049
178,2020-05-04,13:15:00,1308.13,1296.01,1314.99,1307.86,816129
267,2020-05-04,13:15:00,2256.38,2256.5,2326,2294.87,3421869
292,2020-05-04,13:15:00,27.6,27.39,28.42,27.62,9959127
632,2020-05-04,13:15:00,73.72,72.13,77.9,76.33,168280
711,2020-05-04,13:15:00,417.78,414.87,428.54,421.96,4920527
971,2020-05-04,13:15:00,22.21,21.35,22.45,22.43,542475
365,2020-05-04,13:15:00,289.17,286.33,292.1,288.77,20123313
413,2020-05-04,13:15:00,18,17.42,18.69,18.47,1157387
579,2020-05-04,13:15:00,701,698,748.8,731.52,12208785
365,2020-05-04,13:14:00,289.17,286.33,292.1,288.775,20054972
413,2020-05-04,13:14:00,18,17.42,18.69,18.47,1154920
579,2020-05-04,13:14:00,701,698,748.8,731.875,12179261
146,2020-05-04,13:14:00,200.2,198.76,205,202.92,10251612
178,2020-05-04,13:14:00,1308.13,1296.01,1314.99,1308.13,812449
267,2020-05-04,13:14:00,2256.38,2256.5,2326,2295.49,3413508
292,2020-05-04,13:14:00,27.6,27.39,28.42,27.605,9938395
632,2020-05-04,13:14:00,73.72,72.13,77.9,76.33,168280
711,2020-05-04,13:14:00,417.78,414.87,428.54,422.25,4909336
971,2020-05-04,13:14:00,22.21,21.35,22.45,22.38,540210
632,2020-05-04,13:13:00,73.72,72.13,77.9,76.33,167849
711,2020-05-04,13:13:00,417.78,414.87,428.54,421.72,4893288
971,2020-05-04,13:13:00,22.21,21.35,22.45,22.385,539561
365,2020-05-04,13:13:00,289.17,286.33,292.1,288.67,19982967
413,2020-05-04,13:13:00,18,17.42,18.69,18.48,1151449
579,2020-05-04,13:13:00,701,698,748.8,731.1,12142955
146,2020-05-04,13:13:00,200.2,198.76,205,202.75,10230123
178,2020-05-04,13:13:00,1308.13,1296.01,1314.99,1307.2,810473
267,2020-05-04,13:13:00,2256.38,2256.5,2326,2294.9,3409096
